perturbation,mean_cosine_similarity,std_cosine_similarity,mean_spearman_correlation,std_spearman_correlation,mean_jaccard_top10,std_jaccard_top10,mean_absolute_probability_change,std_absolute_probability_change,prediction_change_rate,n
brightness_minus,0.8289131833273302,0.03706249474807,0.6078392681236057,0.0872753902874119,0.3536634313643615,0.0671315808691283,0.0283823224935784,0.0519983888104103,0.0222222222222222,45
brightness_plus,0.8398270700794147,0.0254983481327285,0.634763067209211,0.0629077846244625,0.3670504486395369,0.0536981080870021,0.0304013811342883,0.0422508353998033,0.0,45
contrast_minus,0.8813392816547265,0.0203450758557847,0.7198090235513153,0.0449392150317957,0.4388076008515561,0.0579264862495444,0.0203048168338783,0.0300723535559111,0.0222222222222222,45
contrast_plus,0.8806936357267072,0.0198642584533026,0.7141308207763982,0.0396382752092123,0.4348661753078127,0.0576204618793736,0.0216919951179685,0.0333435453800585,0.0222222222222222,45
gaussian_noise,0.7214190822614869,0.01290685772253,0.554026518032598,0.0516648225408194,0.2277946867624085,0.0343142566688252,0.1507697519587559,0.186813080408224,0.2,45
rotation,0.7097700470066085,0.0245931413282115,0.5429152570559058,0.0532047356493501,0.2306341422906187,0.0338561600037278,0.0898062642417951,0.1359439024040916,0.1111111111111111,45
