perturbation,mean_cosine_similarity,std_cosine_similarity,mean_spearman_correlation,std_spearman_correlation,mean_jaccard_top10,std_jaccard_top10,mean_absolute_probability_change,std_absolute_probability_change,prediction_change_rate,n
brightness_minus,0.8289131833273302,0.03706249474807001,0.6078392681236057,0.08727539028741199,0.35366343136436157,0.06713158086912835,0.028382322493578412,0.051998388810410384,0.022222222222222223,45
brightness_plus,0.8398270700794147,0.02549834813272857,0.634763067209211,0.06290778462446256,0.3670504486395369,0.05369810808700216,0.030401381134288384,0.042250835399803316,0.0,45
contrast_minus,0.8813392816547265,0.020345075855784718,0.7198090235513153,0.04493921503179577,0.4388076008515561,0.057926486249544475,0.02030481683387835,0.030072353555911122,0.022222222222222223,45
contrast_plus,0.8806936357267072,0.019864258453302655,0.7141308207763982,0.03963827520921235,0.4348661753078127,0.05762046187937365,0.021691995117968568,0.03334354538005853,0.022222222222222223,45
gaussian_noise,0.7214190822614869,0.012906857722530016,0.554026518032598,0.05166482254081941,0.2277946867624085,0.03431425666882524,0.15076975195875597,0.18681308040822406,0.2,45
rotation,0.7097700470066085,0.02459314132821152,0.5429152570559058,0.05320473564935015,0.2306341422906187,0.033856160003727806,0.08980626424179516,0.1359439024040916,0.1111111111111111,45
