perturbation,mean_cosine_similarity,std_cosine_similarity,mean_spearman_correlation,std_spearman_correlation,mean_jaccard_top10,std_jaccard_top10,mean_absolute_probability_change,std_absolute_probability_change,prediction_change_rate,n
brightness_minus,0.8157211811814845,0.03232873733419577,0.5552530210034491,0.0560295638287343,0.3364613755505017,0.05590776816403548,0.03662026508391136,0.06563543454508305,0.05,40
brightness_plus,0.8326161978813754,0.023741346399816135,0.5960933819622272,0.04859490880830928,0.3570006887285905,0.04251330840391839,0.023497663233138157,0.031120821201401267,0.0,40
contrast_minus,0.8810703586906937,0.021314470865051983,0.6931525091487643,0.037703361678524186,0.44134903828676386,0.0555926649935764,0.030160354262261536,0.0423054930088915,0.0,40
contrast_plus,0.8826911083988034,0.02074548889723945,0.6938878416648315,0.03375283921472888,0.44435407602677585,0.056060253063892514,0.024556758455582896,0.042138958185012294,0.075,40
gaussian_noise,0.7224505384596347,0.014708834393228754,0.5138777826799709,0.041644159861422676,0.23394268045763042,0.0380660084306372,0.12927089389413596,0.18645122745785964,0.2,40
rotation,0.7004350615761529,0.022111998547243474,0.4982757607104812,0.042397010024901004,0.22262805843769246,0.03490941447398628,0.10471706554817502,0.16605389368232532,0.175,40
